Date,index,compound,BP
2004-03-28,3367.0,0.0,20.825170999999997
2004-03-29,3369.0,0.2263,21.250622
2004-03-30,3377.0,0.0,21.968285
2004-03-31,3383.0,0.0,22.002666
2004-04-01,3391.0,0.3182,21.865149
2004-04-02,3397.0,0.5719,22.346457
2004-04-03,3403.0,0.0,22.346457
2004-04-04,3411.0,0.0,22.346457
2004-04-05,3420.0,0.5859,22.754707
2004-04-06,3430.0,0.0,22.960985
2004-04-07,3437.0,0.0,23.029739000000003
2004-04-08,3440.0,0.0,22.995361
2004-04-09,3447.0,-0.5994,22.995361
2004-04-10,3451.0,-0.3612,22.995361
2004-04-11,3453.0,-0.34,22.995361
2004-04-12,3458.0,0.5859,23.119987
2004-04-13,3459.0,0.0,23.038332
2004-04-14,3468.0,-0.1027,22.780487
2004-04-15,3480.0,0.0,23.274693
2004-04-16,3489.0,0.0,23.31336
2004-04-17,3502.0,-0.5994,23.31336
2004-04-18,3502.0,-0.5994,23.31336
2004-04-19,3508.0,0.0,23.175852
2004-04-20,3509.0,0.0,22.634377
2004-04-21,3515.0,0.4019,22.539832999999998
2004-04-22,3520.0,0.0,22.875032
2004-04-23,3523.0,-0.7269,22.784785999999997
2004-04-24,3535.0,0.0,22.784785999999997
2004-04-25,3541.0,-0.6249,22.784785999999997
2004-04-26,3544.0,-0.4019,22.741816
2004-04-27,3555.0,0.0,23.077017
2004-04-28,3562.0,0.0,22.823465
2004-04-29,3567.0,0.0,22.367937
2004-04-30,3570.0,0.3182,22.733225
2004-05-01,3578.0,0.3182,22.733225
2004-05-02,3586.0,-0.2263,22.733225
2004-05-03,3595.0,0.1779,22.896523000000002
2004-05-04,3610.0,0.0,22.991064
2004-05-05,3621.0,0.0,23.386417
2004-05-06,3632.0,0.0,23.438000000000002
2004-05-07,3640.0,0.0,23.188745
2004-05-08,3647.0,-0.4588,23.188745
2004-05-09,3655.0,-0.765,23.188745
2004-05-10,3659.0,-0.34,22.440998
2004-05-11,3669.0,0.4019,22.625788
2004-05-12,3678.0,-0.6369,22.705907999999997
2004-05-13,3681.0,0.0,22.692907
2004-05-14,3691.0,-0.3818,22.922441
2004-05-15,3699.0,-0.7096,22.922441
2004-05-16,3703.0,-0.3818,22.922441
2004-05-17,3709.0,0.0,22.723233999999998
2004-05-18,3722.0,-0.5574,22.220869
2004-05-19,3736.0,0.0,22.433069
2004-05-20,3736.0,0.0,22.259842000000003
2004-05-21,3746.0,-0.5719,22.311815
2004-05-22,3754.0,0.0,22.311815
2004-05-23,3758.0,-0.3612,22.311815
2004-05-24,3762.0,0.4215,22.723233999999998
2004-05-25,3771.0,0.4404,23.290546
2004-05-26,3788.0,0.0,23.195278
2004-05-27,3799.0,0.0,23.151964000000003
2004-05-28,3807.0,0.0,22.952749
2004-05-29,3815.0,0.4019,22.952749
2004-05-30,3828.0,-0.6705,22.952749
2004-05-31,3834.0,-0.5267,22.952749
2004-06-01,3842.0,-0.4019,23.104326
2004-06-02,3857.0,0.7096,23.325201
2004-06-03,3869.0,0.4404,23.264565
2004-06-04,3876.0,0.0,23.061022
2004-06-05,3882.0,0.0,23.061022
2004-06-06,3888.0,0.0,23.061022
2004-06-07,3889.0,0.0,23.372837
2004-06-08,3899.0,-0.4215,23.277554000000002
2004-06-09,3908.0,-0.2263,22.909449
2004-06-10,3917.0,0.0,22.991723999999998
2004-06-11,3925.0,-0.29600000000000004,22.991723999999998
2004-06-12,3937.0,0.0,22.991723999999998
2004-06-13,3945.0,0.0,22.991723999999998
2004-06-14,3948.0,-0.29600000000000004,22.532681
2004-06-15,3957.0,-0.2732,22.887802
2004-06-16,3968.0,-0.8591,23.273229999999998
2004-06-17,3975.0,0.0,23.41614
2004-06-18,3983.0,-0.0516,23.611031
2004-06-19,3993.0,0.4019,23.611031
2004-06-20,3993.0,0.4019,23.611031
2004-06-21,3998.0,0.1027,23.251568
2004-06-22,4012.0,0.3818,23.229917999999998
2004-06-23,4021.0,0.2732,23.550396
2004-06-24,4027.0,-0.2732,23.472443
2004-06-25,4033.0,0.3182,23.264565
2004-06-26,4036.0,0.4019,23.264565
2004-06-27,4041.0,0.0,23.264565
2004-06-28,4047.0,0.4019,23.255905
2004-06-29,4057.0,0.0,23.138983
2004-06-30,4064.0,0.0,23.199604
2004-07-01,4069.0,-0.4215,23.143301
2004-07-02,4076.0,-0.3612,22.987396
2004-07-03,4083.0,-0.7783,22.987396
2004-07-04,4088.0,-0.8807,22.987396
2004-07-05,4090.0,0.0,22.987396
2004-07-06,4100.0,0.0,23.264565
2004-07-07,4106.0,-0.6705,23.255905
2004-07-08,4118.0,-0.4404,23.507084
2004-07-09,4130.0,-0.2732,23.862206
2004-07-10,4141.0,-0.4767,23.862206
2004-07-11,4149.0,0.0,23.862206
2004-07-12,4155.0,0.743,23.688973999999998
2004-07-13,4170.0,0.0,23.515751
2004-07-14,4175.0,-0.5994,23.602364
2004-07-15,4177.0,0.0,23.727953
2004-07-16,4186.0,-0.2732,24.161026
2004-07-17,4192.0,0.0,24.161026
2004-07-18,4202.0,0.0,24.161026
2004-07-19,4206.0,-0.6486,23.961817
2004-07-20,4215.0,-0.6705,24.005114000000003
2004-07-21,4220.0,-0.34,23.502754
2004-07-22,4228.0,0.4404,23.494089000000002
2004-07-23,4240.0,-0.5106,23.537405
2004-07-24,4250.0,0.0,23.537405
2004-07-25,4254.0,0.1779,23.537405
2004-07-26,4259.0,0.0,23.450782999999998
2004-07-27,4269.0,0.5106,23.342525
2004-07-28,4280.0,0.1779,23.78426
2004-07-29,4291.0,0.0,24.247635
2004-07-30,4301.0,-0.4767,24.407875
2004-07-31,4308.0,-0.25,24.407875
2004-08-01,4310.0,-0.4939,24.407875
2004-08-02,4316.0,0.0,24.373222
2004-08-03,4327.0,0.1531,24.576767
2004-08-04,4341.0,-0.6597,24.282288
2004-08-05,4354.0,0.0,24.208660000000002
2004-08-06,4363.0,0.4019,23.797237
2004-08-07,4374.0,-0.4215,23.797237
2004-08-08,4379.0,-0.5859,23.797237
2004-08-09,4385.0,-0.1531,24.052763
2004-08-10,4399.0,-0.4019,24.013780999999998
2004-08-11,4407.0,0.7096,23.837469
2004-08-12,4421.0,0.3612,23.523247
2004-08-13,4432.0,-0.34,23.497057
2004-08-14,4441.0,0.0,23.497057
2004-08-15,4447.0,0.0,23.497057
2004-08-16,4458.0,0.0,23.802553
2004-08-17,4468.0,-0.0516,23.326847
2004-08-18,4474.0,-0.0258,23.440321
2004-08-19,4483.0,0.3818,23.318125
